"blue_self" "red_self" "blue_post" "red_post" "si" "conf"
"1" 822.582401920047 206.395600480012 981.847813065146 299.932429247768 63 2
"2" 31.5192948674044 224.808162360965 108.761732450381 413.918957822735 29 3
"3" 102.730982891348 153.596474337022 161.328694161192 361.351996111924 22 3
"4" 52.3489001200029 976.629102280056 110.49341529996 1171.28682701295 23 2
"5" 26.432745722837 229.894711505533 89.633305701051 419.496391440175 25 2
"6" 217.178338644114 39.1491185842555 293.924625765072 72.0403844932373 70 1
"7" 463.140101080026 565.837901320032 496.031366989008 642.58418844099 30 1
"8" 39.1491185842555 217.178338644114 40.2454941145548 325.719516143754 1 1
"9" 103.697800240006 925.280202160053 131.107188497491 1007.50836693251 25 1
"10" 64.5818643070924 191.745592921277 165.702760272235 343.426936868991 40 2
"11" 229.894711505533 26.432745722837 411.912324242789 97.2173728984366 72 2
"12" 873.93130204005 155.046700360009 1057.71503284092 237.61620260388 69 3
"13" 822.582401920047 206.395600480012 890.557684798609 248.057870631389 62 1
"14" 391.251640912022 637.726361488036 447.185819851419 848.145415593386 21 3
"15" 134.507140312008 894.470862088051 168.494781751289 970.120773678709 31 1
"16" 750.693941752043 278.284060648016 813.187346979108 325.42820845089 57 1
"17" 39.1491185842555 217.178338644114 72.0403844932373 293.924625765072 30 1
"18" 39.1491185842555 217.178338644114 127.045685489022 395.635004784094 33 3
"19" 39.1491185842555 217.178338644114 41.8126509147029 480.868039358413 1 3
"20" 144.776920336008 884.20108206405 224.682890249432 1070.64834519537 30 3
"21" 62.0385897348087 194.288867493561 168.579882952707 354.100807320409 40 3
"22" 576.107681344033 452.870321056026 773.209073797145 522.12216164766 74 3
"23" 452.870321056026 576.107681344033 527.449226308555 767.88200913625 28 3
"24" 514.489001200029 514.489001200029 597.913740371272 683.866501941643 33 2
"25" 103.697800240006 925.280202160053 166.89836021822 1114.88188209469 25 2
"26" 207.005240354979 49.3222168733902 368.798673899207 140.331023242018 64 2
"27" 113.967580264006 915.010422136052 183.21942085564 1112.11181458916 26 3
"28" 62.6186801440035 966.359322256055 120.76319532396 1161.01704698895 23 2
"29" 36.6058440119718 219.721613216398 39.1338664111003 469.995830730125 1 2
"30" 689.075261608039 339.902740792019 910.148445035179 385.182790409626 83 3
"31" 52.3489001200029 976.629102280056 105.619546728952 1189.71168871585 20 3
"32" 124.237360288007 904.740642112052 195.021987463607 1086.75825484931 28 2
"33" 52.3489001200029 976.629102280056 74.2764107259908 1064.33914470401 20 1
"34" 319.363180744018 709.61482165604 370.89283066809 767.722724761908 47 1
"35" 103.697800240006 925.280202160053 133.299939558089 1005.31561587191 27 1
"36" 51.8654914456739 204.461965782696 57.3473690971709 308.617641161138 5 1
"37" 74.7549625962272 181.572494632142 193.57201535527 315.557681785956 47 2
"38" 565.837901320032 463.140101080026 643.680563971289 494.934991458709 71 1
"39" 204.461965782696 51.8654914456739 377.591567261781 145.089123011335 65 3
"40" 166.31284719844 90.0146100299294 299.489463720813 223.191226552303 50 3
"41" 90.0146100299294 166.31284719844 144.833386544899 221.13162371341 50 1
"42" 565.837901320032 463.140101080026 752.285164451355 543.04607099345 70 3
"43" 153.596474337022 102.730982891348 235.824639109476 130.140371148833 75 1
"44" 51.8654914456739 204.461965782696 140.346275415174 368.783421726052 35 2
"45" 873.93130204005 155.046700360009 947.388462570109 191.227092859889 67 1
"46" 51.8654914456739 204.461965782696 90.2386350061527 275.726375252156 35 1
"47" 153.596474337022 102.730982891348 343.198154271664 165.931542869562 75 2
"48" 802.042841872046 226.935160528013 953.724185819759 328.056056493155 60 2
"49" 153.596474337022 102.730982891348 353.361399120582 169.319291152534 75 3
"50" 51.8654914456739 204.461965782696 145.089123011335 377.591567261781 35 3
"51" 153.596474337022 102.730982891348 238.017390170075 127.947620088234 77 1
"52" 153.596474337022 102.730982891348 345.726176670792 163.403520470433 76 2
"53" 204.461965782696 51.8654914456739 377.591567261781 145.089123011335 65 3
"54" 51.8654914456739 204.461965782696 140.346275415174 368.783421726052 35 2
"55" 596.647241392034 432.330761008025 786.248921326676 495.531320986239 75 2
"56" 165.316480384009 863.661522016049 167.980012714457 1127.35122273035 1 3
"57" 102.730982891348 153.596474337022 126.851244557935 239.113765700375 22 1
"58" 576.107681344033 452.870321056026 758.125294081289 523.654948231625 72 2
"59" 204.461965782696 51.8654914456739 275.726375252156 90.2386350061527 65 1
"60" 617.186801440035 411.791200960023 730.94780940082 550.832432912094 45 2
"61" 129.329950773291 514.319803093162 317.052231525182 862.946895918104 35 3
"62" 90.8309655413034 552.818788325149 144.371646934666 671.989982394247 31 2
"63" 6.87372643028866 53.863537872598 140.961069824497 456.125568055224 25 3
"64" 584.901276018472 58.7484778479808 987.163306201098 192.835821242189 75 3
"65" 53.2761652295691 7.46109907331753 188.096533951841 62.5285736218512 71 1
"66" 270.49289662391 373.156857242543 319.86373587432 513.673861262939 26 1
"67" 238.410408930588 405.239344935865 274.679902777704 541.681726551209 21 2
"68" 52.6887925865402 8.04847171634639 173.587105410262 59.8620343550845 70 2
"69" 26.6659901546581 616.983763711795 64.6626027563994 751.699026572514 22 2
"70" 302.575384317233 341.07436954922 463.480196390283 716.518931053004 30 3
"71" 495.070310477169 148.579443389284 816.879934623269 363.119192820018 60 3
"72" 373.156857242543 270.49289662391 515.572739695647 317.964857441612 75 1
"73" 411.65584247453 231.993911391923 499.0042503791 334.533346758158 46 1
"74" 53.863537872598 6.87372643028866 440.035086847919 157.051551031802 72 3
"75" 4.5242358581732 56.2130284447134 133.248085516613 463.838552363107 24 3
"76" 42.1160850120206 18.621179290866 321.017759271974 276.068878607746 52 3
